Prscrbr_NPI,Physician_Name,Specialty,City,State,Brand_Name,Sales_Rep,Territory,HCP_Tier,CMS_Volume_Decile,Target_Calls,Actual_Calls,Samples_Dropped,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Rx_Lift_Pct,Delta_Log_Fills,Post_Campaign_Fills,dataset_mode
1001000053,Dr. Jessica Hall,Pain Management,Denver,CO,Actiq,REP-103,TERR-02,3,3,5,4,5,7,7.6519,9923.69,8.6138,0.07342,8.311,hybrid
1001000054,Dr. John Brown,Anesthesiology,New York,NY,Fentora,REP-107,TERR-04,2,6,7,5,5,14,15.5458,17521.96,7.5306,0.068364,16.7165,hybrid
1001000055,Dr. Nancy Nguyen,Pain Management,Charlotte,NC,Actiq,REP-101,TERR-01,2,4,5,4,3,18,10.6475,13002.47,5.3249,0.047529,11.2144,hybrid
1001000056,Dr. James Davis,Neurology,Baltimore,MD,Abstral,REP-101,TERR-01,2,6,2,1,2,12,15.3798,20261.46,4.549,0.041826,16.0794,hybrid
1001000057,Dr. Laura Campbell,Neurology,Atlanta,GA,Lazanda,REP-101,TERR-01,2,6,7,6,7,11,15.1019,14820.79,6.7954,0.061785,16.1282,hybrid
1001000058,Dr. Susan Baker,Palliative Care,Los Angeles,CA,Fentora,REP-109,TERR-05,2,5,10,5,0,17,14.3168,18700.22,2.8445,0.02624,14.724,hybrid
1001000059,Dr. Sharon Thomas,Pain Management,Portland,OR,Lazanda,REP-105,TERR-03,1,9,13,7,5,25,25.2832,57120.91,7.9247,0.073466,27.2868,hybrid
1001000060,Dr. Amanda Thompson,Internal Medicine,Phoenix,AZ,Actiq,REP-105,TERR-03,1,8,16,10,2,19,23.4795,37887.97,7.015,0.065117,25.1266,hybrid
1001000061,Dr. Thomas Hernandez,Neurology,Los Angeles,CA,Abstral,REP-104,TERR-02,3,3,4,3,2,30,8.1194,8194.03,3.9626,0.034673,8.4411,hybrid
1001000062,Dr. Dorothy Campbell,Palliative Care,Houston,TX,Abstral,REP-110,TERR-05,2,6,12,7,2,21,15.0053,24428.65,6.1991,0.056492,15.9355,hybrid
1001000063,Dr. Stephanie Scott,Neurology,Houston,TX,Actiq,REP-111,TERR-06,1,8,12,7,4,11,23.453,30352.38,7.277,0.067467,25.1597,hybrid
1001000064,Dr. Sarah Jackson,Pain Management,Seattle,WA,Lazanda,REP-103,TERR-02,2,5,11,8,1,13,14.8102,21290.3,6.2348,0.056762,15.7336,hybrid
1001000065,Dr. Donna Baker,Orthopedics,Baltimore,MD,Abstral,REP-110,TERR-05,1,9,6,5,3,19,25.6036,48536.9,4.9742,0.046762,26.8772,hybrid
1001000066,Dr. Laura Hall,Orthopedics,Houston,TX,Actiq,REP-106,TERR-03,1,8,7,5,5,7,21.5421,37748.41,6.0819,0.056495,22.8523,hybrid
1001000067,Dr. Rebecca Miller,Oncology,Houston,TX,Abstral,REP-108,TERR-04,3,2,3,3,0,16,5.2927,12258.23,2.9165,0.024234,5.447,hybrid
1001000068,Dr. Betty Mitchell,Anesthesiology,Portland,OR,Actiq,REP-104,TERR-02,2,6,6,5,5,18,17.3224,15649.99,6.4237,0.058958,18.4351,hybrid
1001000069,Dr. Robert Gonzalez,Family Practice,Miami,FL,Subsys,REP-112,TERR-06,2,6,5,4,2,9,17.3232,42705.86,4.4874,0.041549,18.1005,hybrid
1001000070,Dr. Lisa Hall,Neurology,Atlanta,GA,Actiq,REP-105,TERR-03,2,5,9,5,1,31,14.1581,23570.39,5.5968,0.050955,14.9505,hybrid
1001000071,Dr. Thomas Sanchez,Oncology,Las Vegas,NV,Fentora,REP-107,TERR-04,2,6,7,6,2,13,16.7742,30904.05,6.8346,0.062506,17.9207,hybrid
1001000072,Dr. Charles Johnson,Family Practice,Charlotte,NC,Actiq,REP-104,TERR-02,2,7,10,8,1,9,18.6241,46269.1,3.8342,0.035742,19.3382,hybrid
1001000073,Dr. Kimberly Hernandez,Orthopedics,Houston,TX,Subsys,REP-103,TERR-02,3,3,4,3,1,14,7.8253,8696.73,4.1548,0.036178,8.1504,hybrid
1001000074,Dr. Melissa Campbell,Oncology,Detroit,MI,Abstral,REP-111,TERR-06,2,4,8,7,6,13,10.611,21013.92,9.1528,0.08033,11.5822,hybrid
1001000075,Dr. Michael Rivera,Palliative Care,Las Vegas,NV,Abstral,REP-103,TERR-02,2,6,10,8,3,21,16.7774,24275.68,6.5079,0.059606,17.8692,hybrid
1001000076,Dr. James Gonzalez,Oncology,Los Angeles,CA,Abstral,REP-109,TERR-05,2,5,8,6,4,21,14.3186,35915.58,6.7664,0.061327,15.2875,hybrid
1001000077,Dr. Robert White,Oncology,Houston,TX,Actiq,REP-112,TERR-06,2,4,4,3,4,25,9.9511,14159.57,6.5316,0.057657,10.601,hybrid
1001000078,Dr. Karen Jones,Pain Management,Charlotte,NC,Subsys,REP-103,TERR-02,2,7,15,14,8,11,18.4284,43311.68,10.5327,0.095225,20.3694,hybrid
1001000079,Dr. Emily Martinez,Orthopedics,Columbus,OH,Subsys,REP-107,TERR-04,2,4,6,4,2,19,9.6472,9453.97,5.2902,0.04682,10.1576,hybrid
1001000080,Dr. Donna Garcia,Internal Medicine,Jacksonville,FL,Subsys,REP-109,TERR-05,2,6,8,6,0,24,17.4879,21409.26,4.0426,0.037527,18.1949,hybrid
1001000081,Dr. Lisa Campbell,Palliative Care,Columbus,OH,Subsys,REP-103,TERR-02,2,7,8,6,0,13,18.2938,16315.98,2.8203,0.02639,18.8098,hybrid
1001000082,Dr. Linda Flores,Palliative Care,Baltimore,MD,Subsys,REP-101,TERR-01,1,10,13,10,2,27,28.3126,44011.95,6.2834,0.05892,30.0916,hybrid
1001000083,Dr. Laura King,Pain Management,Detroit,MI,Subsys,REP-105,TERR-03,2,4,3,1,1,13,9.2234,8253.2,4.1204,0.036499,9.6034,hybrid
1001000084,Dr. Lisa Wright,Palliative Care,Seattle,WA,Subsys,REP-108,TERR-04,2,5,10,8,5,28,12.7945,13504.99,8.073,0.072206,13.8274,hybrid
1001000085,Dr. Carol Perez,Pain Management,Charlotte,NC,Subsys,REP-110,TERR-05,2,4,5,5,0,15,9.932,21491.51,3.0015,0.026904,10.2301,hybrid
1001000086,Dr. Jessica Torres,Pain Management,Phoenix,AZ,Abstral,REP-106,TERR-03,1,10,13,10,5,23,29.0625,61256.59,8.9461,0.082947,31.6625,hybrid
1001000087,Dr. Laura Wilson,Pain Management,Detroit,MI,Abstral,REP-109,TERR-05,2,6,13,8,8,19,16.1279,14621.14,8.7714,0.079359,17.5426,hybrid
1001000088,Dr. Michael Rodriguez,Palliative Care,Houston,TX,Subsys,REP-106,TERR-03,2,5,11,7,8,17,12.8658,22221.81,9.1979,0.081898,14.0491,hybrid
1001000089,Dr. Michelle Flores,Pain Management,Philadelphia,PA,Subsys,REP-111,TERR-06,2,5,2,1,2,21,14.1468,27049.29,5.259,0.04795,14.8908,hybrid
1001000090,Dr. Rebecca Brown,Palliative Care,Denver,CO,Lazanda,REP-110,TERR-05,2,5,6,4,5,18,14.1108,29030.41,6.6444,0.060198,15.0484,hybrid
1001000091,Dr. Susan Torres,Psychiatry,Philadelphia,PA,Subsys,REP-103,TERR-02,2,5,2,2,2,18,14.315,25070.45,3.6057,0.033147,14.8311,hybrid
1001000092,Dr. Thomas Wright,Family Practice,Nashville,TN,Fentora,REP-112,TERR-06,2,6,4,3,3,25,17.1043,23784.99,4.5283,0.041892,17.8788,hybrid
1001000093,Dr. Melissa Mitchell,Pain Management,Atlanta,GA,Actiq,REP-103,TERR-02,2,5,6,4,3,20,12.39,17714.98,5.9864,0.053913,13.1317,hybrid
1001000094,Dr. Rebecca Martin,Pain Management,Houston,TX,Fentora,REP-105,TERR-03,2,7,16,12,1,12,19.9239,32885.55,7.0006,0.064532,21.3186,hybrid
1001000095,Dr. Laura Sanchez,Anesthesiology,Seattle,WA,Abstral,REP-105,TERR-03,1,10,14,9,3,12,28.711,54679.54,7.9805,0.07429,31.0022,hybrid
1001000096,Dr. Mary Campbell,Palliative Care,Columbus,OH,Abstral,REP-108,TERR-04,2,4,6,4,4,26,10.5156,23161.28,6.5384,0.057991,11.2032,hybrid
1001000097,Dr. Thomas Mitchell,Palliative Care,Las Vegas,NV,Abstral,REP-104,TERR-02,2,4,6,3,4,18,10.6164,15139.82,5.7101,0.050869,11.2227,hybrid
1001000098,Dr. Linda Lee,Palliative Care,Atlanta,GA,Lazanda,REP-112,TERR-06,2,5,6,4,4,17,13.865,31461.59,5.6824,0.051645,14.6528,hybrid
1001000099,Dr. Thomas Anderson,Anesthesiology,Austin,TX,Abstral,REP-101,TERR-01,2,6,8,5,0,22,15.2518,37158.18,3.3345,0.030813,15.7604,hybrid
1001000100,Dr. Margaret Ramirez,Pain Management,Atlanta,GA,Fentora,REP-108,TERR-04,2,4,4,3,3,18,9.1878,12989.38,5.9589,0.052345,9.7353,hybrid
1001000101,Dr. Patricia Sanchez,Neurology,Seattle,WA,Subsys,REP-109,TERR-05,3,3,4,2,3,17,8.3967,11891.2,5.2025,0.045441,8.8336,hybrid
1001000102,Dr. Sandra Davis,Anesthesiology,New York,NY,Abstral,REP-102,TERR-01,2,5,4,3,1,14,12.4755,22700.42,2.7141,0.024816,12.8141,hybrid
1001000103,Dr. Ashley Thompson,Internal Medicine,Jacksonville,FL,Fentora,REP-104,TERR-02,2,5,2,2,1,11,12.3913,31160.43,3.1358,0.028603,12.7799,hybrid
1001000104,Dr. John Gonzalez,Neurology,Philadelphia,PA,Subsys,REP-102,TERR-01,3,3,2,1,2,15,6.5801,8098.2,3.3423,0.028601,6.8,hybrid
1001000105,Dr. Sarah White,Pain Management,Columbus,OH,Subsys,REP-110,TERR-05,2,5,8,6,6,19,14.2818,23501.23,7.5219,0.067936,15.356,hybrid
1001000106,Dr. Thomas Sanchez,Neurology,Baltimore,MD,Actiq,REP-110,TERR-05,3,3,2,2,1,18,8.6732,22260.94,3.5327,0.031183,8.9796,hybrid
1001000107,Dr. Kimberly Williams,Orthopedics,Atlanta,GA,Subsys,REP-103,TERR-02,2,7,10,5,5,13,20.5515,23870.76,6.7081,0.062006,21.9301,hybrid
1001000108,Dr. Betty Young,Pain Management,Boston,MA,Abstral,REP-102,TERR-01,1,8,16,14,8,21,23.0628,24053.17,8.0247,0.074098,24.9135,hybrid
1001000109,Dr. Barbara Taylor,Pain Management,Las Vegas,NV,Subsys,REP-112,TERR-06,1,10,16,9,8,25,27.5763,50427.48,9.1204,0.084353,30.0914,hybrid
1001000110,Dr. Joseph Hernandez,Internal Medicine,Seattle,WA,Abstral,REP-109,TERR-05,2,4,4,4,4,18,11.7765,19161.11,4.4526,0.040221,12.3008,hybrid
1001000111,Dr. Michelle Rivera,Oncology,Las Vegas,NV,Abstral,REP-104,TERR-02,3,3,3,2,2,16,7.6285,18983.74,4.1691,0.036196,7.9466,hybrid
1001000112,Dr. Deborah Perez,Pain Management,Miami,FL,Abstral,REP-109,TERR-05,2,7,9,5,0,19,20.9239,50431.66,3.0046,0.028272,21.5526,hybrid
1001000113,Dr. Robert Baker,Palliative Care,Denver,CO,Actiq,REP-106,TERR-03,2,6,10,7,1,14,16.3127,20262.08,6.7115,0.06132,17.4075,hybrid
1001000114,Dr. Lisa Thompson,Oncology,Chicago,IL,Lazanda,REP-109,TERR-05,3,3,2,1,1,26,7.6531,7606.74,3.5232,0.030684,7.9228,hybrid
1001000115,Dr. Elizabeth Torres,Internal Medicine,Denver,CO,Subsys,REP-110,TERR-05,2,4,6,3,3,14,9.2028,16869.35,5.9244,0.052058,9.748,hybrid
1001000116,Dr. Melissa Robinson,Neurology,Nashville,TN,Actiq,REP-104,TERR-02,2,6,9,5,1,14,16.1363,24125.06,5.4564,0.050103,17.0168,hybrid
1001000117,Dr. Emily Torres,Palliative Care,Columbus,OH,Abstral,REP-107,TERR-04,2,6,8,7,4,16,16.3725,20048.57,7.3695,0.067147,17.5791,hybrid
1001000118,Dr. Carol Gonzalez,Pain Management,Seattle,WA,Actiq,REP-111,TERR-06,2,7,7,5,1,24,19.871,45319.03,6.0193,0.055727,21.0671,hybrid
1001000119,Dr. Richard Nelson,Pain Management,Charlotte,NC,Actiq,REP-102,TERR-01,2,5,9,7,6,17,14.9141,29683.53,6.9757,0.063326,15.9544,hybrid
1001000120,Dr. Charles Sanchez,Internal Medicine,Nashville,TN,Actiq,REP-111,TERR-06,2,6,9,6,2,21,16.4939,26634.45,5.9139,0.054259,17.4693,hybrid
1001000121,Dr. Jessica Brown,Pain Management,Phoenix,AZ,Fentora,REP-105,TERR-03,2,6,6,3,3,16,16.9498,27336.54,6.05,0.055557,17.9753,hybrid
1001000122,Dr. Richard Flores,Palliative Care,New York,NY,Abstral,REP-106,TERR-03,2,6,8,5,2,14,15.0421,17349.97,5.9589,0.054369,15.9384,hybrid
1001000123,Dr. Sharon Wright,Neurology,Seattle,WA,Lazanda,REP-102,TERR-01,1,8,7,5,2,14,22.0401,21293.77,4.3848,0.041089,23.0066,hybrid
1001000124,Dr. Stephanie Williams,Palliative Care,Philadelphia,PA,Abstral,REP-109,TERR-05,1,8,6,4,2,16,21.4626,34952.16,4.5022,0.042118,22.4289,hybrid
1001000125,Dr. Kimberly Anderson,Palliative Care,Boston,MA,Subsys,REP-107,TERR-04,3,2,2,1,0,19,5.0607,11005.87,1.5642,0.012976,5.1398,hybrid
1001000126,Dr. Robert Taylor,Anesthesiology,Los Angeles,CA,Subsys,REP-110,TERR-05,2,5,11,8,0,23,12.0627,12938.33,4.0968,0.037134,12.5569,hybrid
1001000127,Dr. David White,Palliative Care,Boston,MA,Abstral,REP-101,TERR-01,2,4,6,5,3,13,10.3939,14897.11,6.1286,0.0544,11.0309,hybrid
1001000128,Dr. David Nelson,Anesthesiology,Baltimore,MD,Abstral,REP-108,TERR-04,2,5,6,5,3,8,14.2406,32856.69,5.6121,0.05111,15.0398,hybrid
1001000129,Dr. Lisa Ramirez,Pain Management,Chicago,IL,Subsys,REP-109,TERR-05,1,8,16,10,6,18,23.7216,49232.79,8.8782,0.081756,25.8276,hybrid
1001000130,Dr. Melissa Nguyen,Palliative Care,Seattle,WA,Abstral,REP-102,TERR-01,1,10,14,12,10,12,30.2409,65204.19,7.7366,0.072218,32.5806,hybrid
1001000131,Dr. Dorothy Gonzalez,Family Practice,Portland,OR,Subsys,REP-104,TERR-02,1,8,7,6,7,15,21.0846,37045.75,5.4495,0.050719,22.2336,hybrid
1001000132,Dr. Robert Clark,Palliative Care,Los Angeles,CA,Fentora,REP-105,TERR-03,3,2,8,6,3,27,5.7493,10366.15,6.5283,0.054119,6.1246,hybrid
1001000133,Dr. Michelle Martin,Internal Medicine,Austin,TX,Fentora,REP-108,TERR-04,2,6,9,8,9,21,15.6506,16499.8,6.942,0.06321,16.737,hybrid
1001000134,Dr. Kimberly Hill,Emergency Medicine,Houston,TX,Fentora,REP-112,TERR-06,2,5,8,4,3,4,12.2421,20957.37,4.6676,0.042246,12.8135,hybrid
1001000135,Dr. Amanda Harris,Family Practice,Nashville,TN,Subsys,REP-103,TERR-02,2,4,2,2,0,22,11.1216,25198.93,1.923,0.01749,11.3354,hybrid
1001000136,Dr. Barbara Taylor,Pain Management,Philadelphia,PA,Actiq,REP-102,TERR-01,2,5,10,8,3,23,12.913,15542.89,5.432,0.049186,13.6145,hybrid
1001000137,Dr. Donna Anderson,Pain Management,Los Angeles,CA,Subsys,REP-103,TERR-02,2,6,7,4,0,9,15.9251,30460.26,2.299,0.021401,16.2912,hybrid
1001000138,Dr. Kimberly Walker,Psychiatry,Baltimore,MD,Subsys,REP-112,TERR-06,2,6,4,3,2,16,16.6044,29250.6,3.9628,0.036695,17.2624,hybrid
1001000139,Dr. Michael Harris,Palliative Care,Phoenix,AZ,Subsys,REP-108,TERR-04,2,4,8,5,3,18,10.2198,20184.57,6.5033,0.057549,10.8845,hybrid
1001000140,Dr. Linda Flores,Orthopedics,Detroit,MI,Abstral,REP-107,TERR-04,2,5,4,3,4,9,14.2673,14724.27,5.9316,0.053949,15.1136,hybrid
1001000141,Dr. Thomas Brown,Palliative Care,Nashville,TN,Abstral,REP-107,TERR-04,2,4,7,7,0,33,10.7382,15910.48,4.0017,0.035954,11.168,hybrid
1001000142,Dr. Donna Hill,Pain Management,Columbus,OH,Abstral,REP-104,TERR-02,2,4,7,4,2,15,11.2541,11992.63,5.4162,0.048545,11.8637,hybrid
1001000143,Dr. Susan Young,Palliative Care,Seattle,WA,Abstral,REP-104,TERR-02,2,5,14,12,12,31,14.4226,34914.88,10.1048,0.090294,15.88,hybrid
1001000144,Dr. Laura White,Pain Management,Nashville,TN,Fentora,REP-112,TERR-06,2,5,8,5,1,16,13.8648,34657.24,5.2077,0.047431,14.5868,hybrid
1001000145,Dr. Nancy Harris,Neurology,Jacksonville,FL,Subsys,REP-102,TERR-01,2,4,4,3,3,27,9.0869,23272.12,3.3669,0.02988,9.3929,hybrid
1001000146,Dr. Jennifer Ramirez,Pain Management,Las Vegas,NV,Fentora,REP-105,TERR-03,2,6,5,4,3,21,15.6319,23817.7,7.8941,0.071571,16.8659,hybrid
1001000147,Dr. Kimberly Harris,Oncology,Detroit,MI,Subsys,REP-109,TERR-05,2,6,8,6,0,12,15.1363,19399.05,3.1053,0.028712,15.6064,hybrid
1001000148,Dr. Linda Jones,Pain Management,Charlotte,NC,Abstral,REP-107,TERR-04,2,5,7,5,2,26,13.7704,12092.05,5.2145,0.04747,14.4884,hybrid
1001000149,Dr. Lisa Rivera,Palliative Care,Seattle,WA,Abstral,REP-106,TERR-03,3,3,2,1,2,16,8.7698,19940.95,4.3419,0.038234,9.1506,hybrid
1001000150,Dr. Susan Wright,Neurology,Boston,MA,Subsys,REP-102,TERR-01,2,5,9,7,1,7,14.1398,27349.41,2.9945,0.027584,14.5632,hybrid
1001000151,Dr. Thomas Torres,Pain Management,Columbus,OH,Fentora,REP-107,TERR-04,2,4,7,5,0,17,11.146,17537.45,3.7489,0.033824,11.5639,hybrid
1001000152,Dr. Deborah Green,Palliative Care,Philadelphia,PA,Subsys,REP-101,TERR-01,2,4,2,2,1,27,11.9333,24710.42,4.1884,0.037917,12.4331,hybrid
